instance_name,configLB,configValSplit,lastNDCpu
Kirlik14-ILP_p-4_n-20_m-10_ins-10,WLP,med,89.0017
Kirlik14-ILP_p-4_n-20_m-10_ins-10,WLP,mofv,74.3851
Kirlik14-ILP_p-4_n-20_m-10_ins-10,WLP,rand,92.4609
Kirlik14-ILP_p-4_n-20_m-10_ins-7,WLP,med,1143.73
Kirlik14-ILP_p-4_n-20_m-10_ins-7,WLP,mofv,1509.27
Kirlik14-ILP_p-4_n-20_m-10_ins-7,WLP,rand,1239.53
Kirlik14-ILP_p-4_n-20_m-10_ins-8,WLP,med,423.225
Kirlik14-ILP_p-4_n-20_m-10_ins-8,WLP,mofv,373.474
Kirlik14-ILP_p-4_n-20_m-10_ins-8,WLP,rand,392.727
Kirlik14-ILP_p-4_n-20_m-10_ins-9,WLP,med,61.8013
Kirlik14-ILP_p-4_n-20_m-10_ins-9,WLP,mofv,50.1437
Kirlik14-ILP_p-4_n-20_m-10_ins-9,WLP,rand,50.5184
Kirlik14-ILP_p-4_n-30_m-15_ins-1,WLP,med,496.765
Kirlik14-ILP_p-4_n-30_m-15_ins-1,WLP,mofv,419.605
Kirlik14-ILP_p-4_n-30_m-15_ins-1,WLP,rand,438.691
Kirlik14-ILP_p-4_n-30_m-15_ins-10,WLP,med,3506.45
Kirlik14-ILP_p-4_n-30_m-15_ins-10,WLP,mofv,3297.73
Kirlik14-ILP_p-4_n-30_m-15_ins-10,WLP,rand,3553.39
Kirlik14-ILP_p-4_n-30_m-15_ins-2,WLP,med,3588.65
Kirlik14-ILP_p-4_n-30_m-15_ins-2,WLP,mofv,3574.74
Kirlik14-ILP_p-4_n-30_m-15_ins-2,WLP,rand,3557.22
Kirlik14-ILP_p-4_n-30_m-15_ins-3,WLP,med,3509.92
Kirlik14-ILP_p-4_n-30_m-15_ins-3,WLP,mofv,3581.71
Kirlik14-ILP_p-4_n-30_m-15_ins-3,WLP,rand,3598.58
Kirlik14-ILP_p-4_n-30_m-15_ins-4,WLP,med,3578.89
Kirlik14-ILP_p-4_n-30_m-15_ins-4,WLP,mofv,3595.35
Kirlik14-ILP_p-4_n-30_m-15_ins-4,WLP,rand,2149.67
Kirlik14-ILP_p-4_n-30_m-15_ins-5,WLP,med,2293.99
Kirlik14-ILP_p-4_n-30_m-15_ins-5,WLP,mofv,2123.82
Kirlik14-ILP_p-4_n-30_m-15_ins-5,WLP,rand,3030.92
Kirlik14-ILP_p-4_n-30_m-15_ins-6,WLP,med,51.3431
Kirlik14-ILP_p-4_n-30_m-15_ins-6,WLP,mofv,50.9804
Kirlik14-ILP_p-4_n-30_m-15_ins-6,WLP,rand,52.7986
Kirlik14-ILP_p-4_n-30_m-15_ins-7,WLP,med,1135.75
Kirlik14-ILP_p-4_n-30_m-15_ins-7,WLP,mofv,1025.3
Kirlik14-ILP_p-4_n-30_m-15_ins-7,WLP,rand,1227.43
Kirlik14-ILP_p-4_n-30_m-15_ins-8,WLP,med,3596.14
Kirlik14-ILP_p-4_n-30_m-15_ins-8,WLP,mofv,3598.58
Kirlik14-ILP_p-4_n-30_m-15_ins-8,WLP,rand,3308.89
