depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay,avgIntegerVtx
0,1,0,326,252,326,252,326,252,0.00582078,0.169253,0,326,202,276,276,141
1,2,0,281,224,280,221,282,282,0.0102432,0.189721,78,197,173,230,168,152
2,4,0,249.5,208.75,217,205,265,265,0.0191971,0.307314,77,168,158,199,140,151
3,8,0,220.875,187.875,189,171,273,273,0.0253805,0.465551,76,128,141,174,105,138
4,16,0,203.812,178.625,144,144,265,265,0.0426671,0.788472,69,114,134,159,91,132
5,32,0,184.688,166.656,121,121,270,270,0.0792864,1.43406,66,102,124,142,80,123
6,62,0,167.145,153.403,88,88,264,264,0.123224,2.40711,62,92,114,127,72,113
7,116,0,152.698,143.078,70,70,280,280,0.216413,4.24423,56,86,105,115,67,105
8,216,0,138.815,132.491,52,52,279,279,0.364795,7.31453,52,79,97,103,61,97
9,386,0,125.842,121.552,32,32,302,302,0.577878,11.8194,46,72,88,92,54,88
10,650,0,114.174,111.768,21,21,287,287,0.87985,17.5746,44,64,80,83,48,80
11,1096,0,101.449,100.649,11,11,314,314,1.29289,26.9964,39,58,71,72,43,71
12,1780,0,89.0545,89.6556,3,3,300,300,1.82071,38.4589,35,50,63,62,36,63
13,2706,0,75.6305,77.2232,3,3,292,292,2.27016,49.5694,30,42,53,51,29,53
14,3964,0,64.1897,66.5378,3,3,264,264,2.77694,62.396,26,35,45,42,24,44
15,5386,0,53.4278,56.1056,3,3,250,250,3.04901,71.6745,21,29,36,34,19,36
16,7028,0,43.8009,46.7247,3,3,273,273,3.17056,75.6147,18,23,29,26,15,29
17,8700,0,35.8084,38.8861,3,3,233,233,3.12168,75.1412,15,19,23,20,11,23
18,10282,0,29.7499,32.7751,3,3,254,254,2.99492,75.2061,12,16,19,16,9,19
19,11400,0,25.2256,28.1665,3,3,226,226,2.76418,71.0828,10,13,16,13,7,16
20,11676,0,22.0003,24.827,3,3,216,216,2.39416,62.8873,9,11,13,11,6,13
21,11254,0,19.6659,22.375,3,3,194,194,2.05783,54.7453,8,10,12,9,5,12
22,10374,0,17.8661,20.4763,3,3,186,186,1.66067,44.1806,7,9,10,8,4,10
23,9224,0,16.3381,18.8268,3,3,175,175,1.32614,36.0782,7,8,9,7,4,9
24,7836,0,15.2089,17.5782,3,3,172,172,1.03262,27.8586,6,7,9,6,3,9
25,6562,0,14.2897,16.5658,3,3,192,192,0.800065,21.7951,6,7,8,6,3,8
26,5242,0,13.6511,15.8636,3,3,183,183,0.599631,16.4281,6,7,7,5,3,7
27,4116,0,13.1851,15.3508,3,3,170,170,0.444475,12.4627,5,6,7,5,2,7
28,3154,0,12.8786,15.0136,3,3,161,161,0.327736,9.26463,5,6,7,5,2,7
29,2378,0,12.6392,14.7304,3,3,143,143,0.241079,6.80366,5,6,7,5,2,7
30,1776,0,12.0648,14.1053,3,3,135,135,0.167134,4.93258,5,6,6,4,2,6
31,1312,0,11.8407,13.8552,3,3,128,128,0.120903,3.58223,5,5,6,4,2,6
32,1030,0,11.0417,12.9621,3,3,121,121,0.0854626,2.42703,5,5,5,3,2,5
33,786,0,10.3906,12.229,3,3,115,115,0.0609405,1.74129,4,5,5,3,1,5
34,590,0,9.91186,11.7119,3,3,108,108,0.0428165,1.27104,4,4,5,3,1,5
35,438,0,9.4726,11.2237,3,3,104,104,0.0305563,0.938577,4,4,4,3,1,4
36,306,0,9.48039,11.2157,3,3,91,91,0.0213212,0.671933,4,4,4,3,1,4
37,206,0,9.08252,10.7524,3,3,85,85,0.0139001,0.441424,3,4,4,2,1,4
38,128,0,9.40625,11.0625,3,3,71,71,0.00873514,0.288305,3,5,4,3,1,4
39,92,0,9.3587,10.9783,3,3,60,60,0.00590419,0.181554,4,4,4,3,1,4
40,72,0,8.5,10.0694,3,3,53,53,0.003967,0.12209,4,4,4,2,1,4
41,56,0,8.46429,9.96429,3,3,50,50,0.00308529,0.0976189,3,4,4,2,1,4
42,32,0,10.4375,12.125,3,3,47,47,0.00237679,0.0693613,4,5,5,3,2,5
43,22,0,10.0909,11.7273,3,3,44,44,0.0014676,0.0431237,4,4,5,3,1,5
44,16,0,9.5,11.125,3,3,28,28,0.00106809,0.031598,4,4,4,3,1,4
45,8,0,9,10.75,3,3,25,28,0.000470497,0.0133785,4,4,4,2,1,4
46,8,0,7.75,9.5,3,3,21,24,0.0004445,0.01311,3,4,3,1,1,3
47,6,0,7.16667,8.66667,3,3,18,21,0.000283399,0.0087805,3,3,3,1,1,3
48,2,0,13,15,13,13,13,15,0.0001761,0.0047907,5,6,6,4,2,6
49,2,0,7,8.5,3,3,11,13,4.65e-05,0.0016028,3,2,3,1,0,3
50,2,0,6,7.5,3,3,9,11,3.68e-05,0.0015267,3,2,2,1,0,2
51,2,0,5,6.5,3,3,7,9,3.2401e-05,0.001705,2,2,2,0,0,2
52,2,0,4,5.5,3,3,5,7,3.33e-05,0.0019805,2,2,1,0,0,1
